season,team,playerid,full_name,name,side,category,position,games,starts,years,av
2006,CAR,GambCh20,Chris Gamble,C.Gamble,D,DB,LCB,15,13,2,7
2006,CAR,ShelEr00,Eric Shelton,E.Shelton,,,,9,0,0,0
2006,CAR,GoinNi00,Nick Goings,N.Goings,,,,11,0,5,1
2006,CAR,SmitSt01,Steve Smith,S.Smith,O,WR,WR,14,14,5,9
2006,CAR,GrosJo20,Jordan Gross,J.Gross,O,OL,LT,16,16,3,6
2006,CAR,StraDe20,Derrick Strait,D.Strait,,,,2,0,2,0
2006,CAR,HangGe20,Geoff Hangartner,G.Hangartner,O,OL,C,16,15,1,6
2006,CAR,WahlMi55,Mike Wahle,M.Wahle,O,OL,LG,13,13,8,5
2006,CHI,JohnTa20,Tank Johnson,T.Johnson,D,DL,NT,14,10,2,6
2006,CHI,JohnTo20,Todd Johnson,T.Johnson,D,DB,SS,12,6,2,3
2006,CHI,JoneTh00,Thomas Jones,T.Jones,O,RB,RB,16,16,6,9
2006,CHI,KreuOl00,Olin Kreutz,O.Kreutz,O,OL,C,16,16,8,15
2006,CHI,MannPa20,Patrick Mannelly,P.Mannelly,,,,16,0,8,1
2006,CHI,AndeMa21,Mark Anderson,M.Anderson,D,DL,DE,16,1,0,4
2006,CHI,MannDa21,Danieal Manning,D.Manning,D,DB,FS,16,14,0,6
2006,CHI,AyanBr99,Brendon Ayanbadejo,B.Ayanbadejo,D,LB,LB,16,1,3,6
2006,CHI,MannRi20,Ricky Manning,R.Manning,D,DB,LCB,15,6,3,5
2006,CHI,BensCe00,Cedric Benson,C.Benson,,,,15,0,1,5
2006,CHI,MaxeMa20,Marcus Maxey,M.Maxey,,,,1,0,0,0
2006,CHI,BerrBe00,Bernard Berrian,B.Berrian,O,WR,WR,15,14,2,7
2006,CHI,MaynBr20,Brad Maynard,B.Maynard,S,P,P,16,0,9,3
2006,CHI,BoonAl20,Alfonso Boone,A.Boone,D,DL,DT,12,4,5,3
2006,CHI,McClDa21,Darrell McClover,D.McClover,,,,7,0,2,1
2006,CHI,BradMa00,Mark Bradley,M.Bradley,,,,10,0,1,3
2006,CHI,McGoBr21,Brandon McGowan,B.McGowan,,,,1,0,1,0
2006,CHI,BrigLa99,Lance Briggs,L.Briggs,D,LB,LB,16,16,3,16
2006,CHI,McKiJa00,Jason McKie,J.McKie,O,RB,FB,15,12,4,2
